buy_month	sell_month	pints_purchased	expected_profit
2025-01-01	2025-02-01	220868	-177088.25401718478
2025-01-01	2025-03-01	216095	-294897.1461675902
2025-01-01	2025-04-01	211524	-310540.7913299362
2025-01-01	2025-05-01	207142	-378353.20153451967
2025-01-01	2025-06-01	202938	-441830.08154393575
2025-01-01	2025-07-01	198902	-461260.8652908097
2025-01-01	2025-08-01	195023	-427230.5420523333
2025-01-01	2025-09-01	191292	-414664.9856795095
2025-01-01	2025-10-01	187702	-381208.2248152381
2025-01-01	2025-11-01	184243	-311069.3885188851
2025-01-01	2025-12-01	180910	-263469.3839675788
2025-02-01	2025-03-01	225236	-265071.05607801926
2025-02-01	2025-04-01	220274	-282018.8498881823
2025-02-01	2025-05-01	215527	-353190.8260894588
2025-02-01	2025-06-01	210980	-419713.72519951954
2025-02-01	2025-07-01	206620	-440355.4764759036
2025-02-01	2025-08-01	202437	-405454.5675525552
2025-02-01	2025-09-01	198421	-392852.84503618226
2025-02-01	2025-10-01	194560	-358597.97425299307
2025-02-01	2025-11-01	190847	-286376.73226867506
2025-02-01	2025-12-01	187273	-237565.02622713786
2025-03-01	2025-04-01	254746	-169659.47172743158
2025-03-01	2025-05-01	248417	-254483.92100025184
2025-03-01	2025-06-01	242396	-333305.1519565279
2025-03-01	2025-07-01	236659	-358992.802211557
2025-03-01	2025-08-01	231188	-321016.21885254205
2025-03-01	2025-09-01	225964	-308573.2265061451
2025-03-01	2025-10-01	220971	-271530.7611056581
2025-03-01	2025-11-01	216194	-191600.12711686932
2025-03-01	2025-12-01	211618	-138448.55709938926
2025-04-01	2025-05-01	254995	-234745.65179257284
2025-04-01	2025-06-01	248654	-316092.6621068318
2025-04-01	2025-07-01	242621	-342845.02859562426
2025-04-01	2025-08-01	236874	-304316.9284156325
2025-04-01	2025-09-01	231393	-291961.3983184055
2025-04-01	2025-10-01	226160	-254424.7924209658
2025-04-01	2025-11-01	221158	-173037.04438999764
2025-04-01	2025-12-01	216373	-119093.03207631019
2025-05-01	2025-06-01	275140	-243244.58346006094
2025-05-01	2025-07-01	267773	-274720.91483155085
2025-05-01	2025-08-01	260789	-234079.55796636536
2025-05-01	2025-09-01	254161	-222293.46063709713
2025-05-01	2025-10-01	247861	-182881.763317904
2025-05-01	2025-11-01	241866	-95603.58514779176
2025-05-01	2025-12-01	236155	-38556.38858693632
2025-06-01	2025-07-01	297970	-192928.98682227885
2025-06-01	2025-08-01	289348	-150203.6363525576
2025-06-01	2025-09-01	281212	-139521.8314518312
2025-06-01	2025-10-01	273520	-98294.23377857303
2025-06-01	2025-11-01	266238	-4473.665595592503
2025-06-01	2025-12-01	259333	55809.4141786965
2025-07-01	2025-08-01	302159	-112579.6719317927
2025-07-01	2025-09-01	293297	-102542.31114827938
2025-07-01	2025-10-01	284940	-60647.11455171515
2025-07-01	2025-11-01	277045	35939.0366706518
2025-07-01	2025-12-01	269577	97513.86174858172
2025-08-01	2025-09-01	280642	-141264.4082327098
2025-08-01	2025-10-01	272981	-100070.4533685301
2025-08-01	2025-11-01	265727	-6382.587034592077
2025-08-01	2025-12-01	258849	53837.304358902016
2025-09-01	2025-10-01	270279	-108979.37605622776
2025-09-01	2025-11-01	263166	-15960.119377836374
2025-09-01	2025-12-01	256418	43939.77868806333
2025-10-01	2025-11-01	252336	-56455.83774082408
2025-10-01	2025-12-01	246125	2036.4030379648998
2025-11-01	2025-12-01	224481	-86080.69864371819
