recipe_slug	score_bound
almond-chip-cookies	2.683399355045581
almond-croissants	2.375223218824506
apple-crisp	2.528645006730512
apple-crumble	2.8645512835558673
apple-pie	2.852732036487005
asparagus-burger	1.879609606927965
asparagus-quiche	2.0225611014143703
bacon-and-egg-breakfast-sandwich	1.787079800878324
bacon-chocolate-chip-cookies	2.385557140464531
bacon-egg-muffins	1.7958352649208875
bacon-fried-rice	1.8611239821340961
bacon-mac-and-cheese	1.8180497689229114
bacon-souffle	1.5600977999209353
bacon-wrapped-asparagus	1.8195792462260227
bacon-wrapped-chicken	1.8526567155731204
bacon-wrapped-dates	1.735537838325315
bacon-wrapped-scallops	1.776449349668828
bacon-wrapped-shrimp-skewers	1.8274181083684142
berry-crisp	2.627100555549264
berry-crumble	2.473954862978558
blueberry-crisp	2.587552707710686
blueberry-crumble	2.5554850830863853
bolognese-sauce	1.7730432431799383
breakfast-burritos	1.8154382186392768
brioche-bread	2.345642820813903
brioche-bread-with-chocolate	2.7254967502874066
brownies	2.292537608106133
burritos	1.7931977695198749
butter-croissants	2.0311322000101075
cherry-cobbler	2.5954028921215015
cherry-pie	2.723137331287586
chicken-alfredo-lasagna	1.7798938052828785
chicken-fingers	1.7976064892012904
chicken-nuggets	1.8505743317646006
chiles-rellenos	1.7891310197835746
chocolate-babka	2.5890432559487855
chocolate-cake	2.6304603807144114
chocolate-croissants	2.3964877781645417
chocolate-peanut-butter-cake	2.6745835871596064
chocolate-souffle	2.3191756053828443
cinnamon-babka	2.5391910946395426
classic-beef-lasagna	1.7163522425535345
cold-noodles-with-tomatoes	1.8914449586870967
cold-sesame-noodles	1.8063337213651822
cold-soba-noodles-with-tomato-and-cucumber	1.7880365294617617
cranberry-apple-crisp	2.7923491664705846
cranberry-relish	2.0741821282174158
cranberry-sauce	2.2408487948840836
croissant-aux-amandes	2.08387440845026
croissants	1.86141875624782
dan-dan-noodles	1.8794222586375013
danishes	2.5538283831169997
enchiladas	1.8063100326553434
fajitas	1.852544209672127
falafel	1.7677964722450739
french-toast	1.9796813529404014
fried-oysters	1.78717181307057
guacamole	1.8523788081374437
lasagna	1.6663680371926477
loaded-nachos	1.8042841784447217
ma-la-beef	1.8334301425630102
ma-la-chicken	1.8762571340340308
maple-bacon-donuts	2.055550256691701
maple-bacon-pancakes	1.7518858152269092
mushroom-quiche	1.8709896581337178
nacho-casserole	1.7627115749567148
nacho-dip	1.7465658284285395
nacho-fries	1.8481947229798759
nacho-salad	1.8152496940475673
nachos	1.7887096426451783
pain-au-chocolat	2.139736735875088
pasta-primavera	1.6919298439003698
peach-cobbler	2.222676465238286
peach-crisp	2.442399299356804
peanut-butter-brownies	2.5739488133081814
peanut-butter-cupcakes	2.7735506748383436
pickled-asparagus	1.7658263027348298
pickled-green-beans	1.819382185935309
pico-de-gallo	1.7597562154961452
quesadillas	1.8698133855102506
quiche-lorraine	2.0213327925324736
ramen	1.916236359045395
soba-noodle-salad-with-peanut-dressing	1.8000956748571342
souffle	2.0070936717692267
spam-musubi	1.8756255890498665
spamburger	1.8975853845119408
spinach-and-feta-quiche	1.788403602697712
spinach-and-ricotta-lasagna	1.7036469848414497
spinach-and-ricotta-stuffed-shells	1.558257368108242
spinach-quiche	1.7076273266939328
strawberry-rhubarb-crisp	2.855187162929152
sujebi	1.8321408821498715
taco-salad	1.8524463764718817
tacos	1.8456659341963555
tamales	1.878596986812723
tempura-udon	1.8116040747299504
udon	1.769669144518405
vanilla-souffle	2.524221698543523
vegetable-lasagna	1.4625404114381324
vegetarian-mushroom-lasagna	1.5817136912122414
