recipe_slug	rating
almond-chip-cookies	1.0
almond-croissants	0.75
apple-crisp	0.75
apple-crumble	1.0
apple-pie	1.0
asparagus-burger	0.0
asparagus-quiche	0.25
bacon-and-egg-breakfast-sandwich	0.0
bacon-chocolate-chip-cookies	0.75
bacon-egg-muffins	0.0
bacon-fried-rice	0.0
bacon-mac-and-cheese	0.0
bacon-souffle	0.0
bacon-wrapped-asparagus	0.0
bacon-wrapped-chicken	0.0
bacon-wrapped-dates	0.0
bacon-wrapped-scallops	0.0
bacon-wrapped-shrimp-skewers	0.0
berry-crisp	1.0
berry-crumble	1.0
blueberry-crisp	1.0
blueberry-crumble	1.0
bolognese-sauce	0.0
breakfast-burritos	0.0
brioche-bread	0.5
brioche-bread-with-chocolate	1.0
brownies	0.5
burritos	0.0
butter-croissants	0.5
cherry-cobbler	1.0
cherry-pie	1.0
chicken-alfredo-lasagna	0.0
chicken-fingers	0.0
chicken-nuggets	0.0
chiles-rellenos	0.0
chocolate-babka	0.75
chocolate-cake	1.0
chocolate-croissants	0.75
chocolate-peanut-butter-cake	1.0
chocolate-souffle	0.75
cinnamon-babka	1.0
classic-beef-lasagna	0.0
cold-noodles-with-tomatoes	0.0
cold-sesame-noodles	0.0
cold-soba-noodles-with-tomato-and-cucumber	0.0
cranberry-apple-crisp	1.0
cranberry-relish	0.25
cranberry-sauce	0.5
croissant-aux-amandes	0.25
croissants	0.0
dan-dan-noodles	0.0
danishes	0.75
enchiladas	0.0
fajitas	0.0
falafel	0.0
french-toast	0.25
fried-oysters	0.0
guacamole	0.0
lasagna	0.0
loaded-nachos	0.0
ma-la-beef	0.0
ma-la-chicken	0.0
maple-bacon-donuts	0.25
maple-bacon-pancakes	0.0
mushroom-quiche	0.0
nacho-casserole	0.0
nacho-dip	0.0
nacho-fries	0.0
nacho-salad	0.0
nachos	0.0
pain-au-chocolat	0.25
pasta-primavera	0.0
peach-cobbler	0.5
peach-crisp	0.75
peanut-butter-brownies	1.0
peanut-butter-cupcakes	1.0
pickled-asparagus	0.0
pickled-green-beans	0.0
pico-de-gallo	0.0
quesadillas	0.0
quiche-lorraine	0.25
ramen	0.0
soba-noodle-salad-with-peanut-dressing	0.0
souffle	0.25
spam-musubi	0.0
spamburger	0.0
spinach-and-feta-quiche	0.0
spinach-and-ricotta-lasagna	0.0
spinach-and-ricotta-stuffed-shells	0.0
spinach-quiche	0.0
strawberry-rhubarb-crisp	1.0
sujebi	0.0
taco-salad	0.0
tacos	0.0
tamales	0.0
tempura-udon	0.0
udon	0.0
vanilla-souffle	0.75
vegetable-lasagna	0.0
vegetarian-mushroom-lasagna	0.0
