recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	1.0
ramen	7.27009263523874	0.0
quesadillas	7.235617062396761	0.0
ma-la-chicken	7.095599190155725	0.0
chocolate-babka	6.936422371120145	0.75
pain-au-chocolat	6.956081968821101	0.25
spamburger	6.877580205690912	0.0
bacon-fried-rice	6.812610019571454	0.0
cranberry-relish	6.627224324762391	0.25
nacho-fries	6.53377858465891	0.0
asparagus-burger	6.429531459521534	0.0
strawberry-rhubarb-crisp	6.384751562996593	1.0
apple-pie	6.392297099728977	1.0
apple-crisp	6.258012875465407	0.75
mushroom-quiche	6.229363368991877	0.0
brioche-bread	6.118171418619532	0.5
bacon-wrapped-chicken	6.044014445559091	0.0
guacamole	6.011978318089541	0.0
cold-noodles-with-tomatoes	6.010805839930864	0.0
bacon-wrapped-asparagus	5.870230206438511	0.0
dan-dan-noodles	5.817346944720377	0.0
tamales	5.8066041688786045	0.0
cranberry-apple-crisp	5.733486623112979	1.0
taco-salad	5.605307039781749	0.0
chicken-nuggets	5.5383582960118805	0.0
croissants	5.509383330141205	0.0
peanut-butter-cupcakes	5.484516923110035	1.0
spam-musubi	5.452178766044142	0.0
asparagus-quiche	5.428583819213195	0.25
bacon-mac-and-cheese	5.406855404274762	0.0
danishes	5.283171869696229	0.75
fajitas	5.250438603998892	0.0
cherry-pie	5.239914931495241	1.0
bacon-wrapped-shrimp-skewers	5.237255620972886	0.0
souffle	5.222764356289505	0.25
croissant-aux-amandes	5.175493384781018	0.25
tacos	5.1598457127004576	0.0
vanilla-souffle	5.156645488525454	0.75
sujebi	5.0999276241099745	0.0
brioche-bread-with-chocolate	5.066373482483803	1.0
brownies	5.03569553434052	0.5
breakfast-burritos	4.944005707913916	0.0
spinach-and-ricotta-lasagna	4.94475140473584	0.0
chocolate-peanut-butter-cake	4.875395955503102	1.0
enchiladas	4.86601595720346	0.0
peach-crisp	4.862523924765592	0.75
quiche-lorraine	4.840829496304078	0.25
soba-noodle-salad-with-peanut-dressing	4.820412249506007	0.0
nacho-salad	4.766696019329292	0.0
loaded-nachos	4.741234961694721	0.0
nachos	4.703354428138713	0.0
maple-bacon-donuts	4.551474342583849	0.25
ma-la-beef	4.4753094118771815	0.0
almond-chip-cookies	4.471200991413685	1.0
pickled-green-beans	4.467081477775597	0.0
spinach-and-feta-quiche	4.444075105031159	0.0
almond-croissants	4.396472234007477	0.75
berry-crisp	4.388844249347631	1.0
bacon-egg-muffins	4.387629750595943	0.0
bolognese-sauce	4.347811900722841	0.0
cold-sesame-noodles	4.341167032786745	0.0
chiles-rellenos	4.329038046234997	0.0
cranberry-sauce	4.314933349011461	0.5
tempura-udon	4.2908661316831305	0.0
bacon-wrapped-scallops	4.28110483350737	0.0
falafel	4.228846238390584	0.0
burritos	4.223759335794888	0.0
chicken-fingers	4.183287601792068	0.0
cherry-cobbler	4.181864144110326	1.0
chicken-alfredo-lasagna	4.093061615066225	0.0
blueberry-crumble	4.062260259371503	1.0
bacon-and-egg-breakfast-sandwich	4.052931471233737	0.0
cold-soba-noodles-with-tomato-and-cucumber	4.045380873824839	0.0
chocolate-croissants	4.0080421063502545	0.75
chocolate-cake	3.992875663423549	1.0
fried-oysters	3.958508466452989	0.0
peach-cobbler	3.912716606401521	0.5
udon	3.905249409850891	0.0
bacon-chocolate-chip-cookies	3.8829957786332105	0.75
french-toast	3.8031168218878113	0.25
pico-de-gallo	3.7997921639697667	0.0
peanut-butter-brownies	3.774391961861023	1.0
maple-bacon-pancakes	3.7312314517842107	0.0
nacho-casserole	3.7216460492610812	0.0
pickled-asparagus	3.7197035386143438	0.0
nacho-dip	3.7009038690406464	0.0
blueberry-crisp	3.6927447132095823	1.0
spinach-quiche	3.659433542348118	0.0
classic-beef-lasagna	3.6524845032216033	0.0
cinnamon-babka	3.5519543422516713	1.0
pasta-primavera	3.5047443191271315	0.0
bacon-wrapped-dates	3.497066060974089	0.0
chocolate-souffle	3.296882691207673	0.75
berry-crumble	3.228854218851178	1.0
lasagna	3.178399095842926	0.0
butter-croissants	2.8746935460973	0.5
apple-crumble	2.864573570226544	1.0
strawberry-rhubarb-crisp	2.85521529128194	1.0
apple-pie	2.852068529809717	1.0
cranberry-apple-crisp	2.791679617910182	1.0
