state	action
2	-1
3	-1
4	-1
5	-1
6	-1
7	0
10	-1
11	1
12	1
13	-1
14	-1
15	-1
17	0
18	1
19	1
20	1
21	-1
22	1
23	1
25	0
26	-1
27	0
28	0
29	0
30	-1
31	1
33	1
34	0
35	-1
36	0
37	-1
38	-1
39	-1
41	1
42	-1
43	1
44	1
45	0
46	1
47	-1
49	-1
50	0
51	1
52	1
53	1
54	0
55	1
57	-1
58	-1
59	-1
60	1
61	0
62	-1
63	-1
65	0
66	0
67	1
68	1
69	1
70	-1
71	1
73	0
74	-1
75	0
76	-1
77	1
78	0
79	0
81	-1
82	1
83	0
84	0
85	1
86	0
87	1
89	-1
90	-1
91	-1
92	1
93	0
94	0
95	1
97	0
98	1
99	0
100	0
101	-1
102	-1
103	0
105	0
106	1
107	1
108	1
109	-1
110	0
111	1
113	1
114	1
115	1
116	1
117	1
118	1
121	1
122	-1
123	-1
124	1
125	-1
127	0
128	0
131	1
132	0
133	-1
134	-1
135	-1
136	0
138	0
139	1
140	0
141	-1
142	0
143	-1
144	-1
145	1
146	-1
147	1
148	-1
149	1
150	1
151	0
152	0
153	0
154	1
155	-1
156	0
157	0
158	0
159	-1
160	-1
161	-1
162	-1
163	1
164	0
165	1
166	-1
167	1
168	0
169	0
170	0
171	-1
172	0
173	-1
174	1
175	0
176	1
177	-1
178	-1
179	1
180	-1
181	0
182	-1
183	0
184	0
185	0
186	-1
187	1
188	1
189	0
190	0
191	0
192	-1
193	-1
194	-1
195	0
196	0
197	-1
198	-1
199	-1
200	0
201	-1
202	0
203	-1
204	-1
205	-1
206	1
207	0
208	-1
209	-1
210	-1
211	1
212	0
213	-1
214	-1
215	-1
216	-1
217	-1
218	0
219	-1
220	-1
221	0
222	0
223	0
224	-1
225	1
226	-1
227	0
228	1
229	-1
230	1
231	1
232	1
233	0
234	1
235	1
236	-1
237	1
238	1
239	1
240	1
241	-1
242	0
243	0
244	1
245	-1
246	-1
248	0
249	0
250	0
251	-1
252	-1
253	0
256	1
257	0
259	1
260	1
261	0
262	-1
263	0
264	0
266	0
267	-1
268	0
269	-1
270	1
271	0
272	0
273	-1
274	-1
275	0
276	0
277	1
278	1
279	0
280	1
281	-1
282	0
283	1
284	0
285	-1
286	-1
287	-1
288	1
289	0
290	0
291	0
292	0
293	1
294	0
295	-1
296	0
297	0
298	0
299	-1
300	-1
301	0
302	0
303	-1
304	-1
305	0
306	1
307	1
308	-1
309	-1
310	1
311	1
312	-1
313	0
314	0
315	-1
316	1
317	0
318	1
319	1
320	-1
